grid_y,grid_x
188,0
187,0
186,0
185,0
184,0
183,0
182,0
181,1
180,2
179,2
178,2
177,2
176,2
175,2
174,2
173,3
172,3
171,3
170,3
169,3
168,3
167,3
166,3
165,3
164,3
163,3
162,3
161,3
160,3
159,3
158,3
157,3
156,3
155,3
154,3
153,3
152,3
151,3
150,3
149,3
148,3
147,3
146,3
145,3
144,3
143,3
142,3
141,3
140,3
139,3
138,3
137,3
136,3
135,3
134,3
133,3
132,3
131,3
130,3
129,3
128,3
127,3
126,3
125,3
124,3
123,3
122,3
121,3
120,3
119,3
118,3
117,3
116,3
115,3
114,3
113,3
112,3
111,3
110,3
109,3
108,3
107,3
106,3
105,3
104,3
103,3
102,3
101,3
100,3
99,3
98,3
97,3
96,3
95,3
94,3
93,3
92,3
91,3
90,3
89,3
88,3
87,3
86,3
85,3
84,3
83,3
82,3
81,3
80,3
79,3
78,3
77,3
76,3
75,3
74,3
73,3
72,3
71,3
70,3
69,3
68,3
67,3
66,3
65,3
64,3
63,3
62,3
61,3
60,3
59,3
58,3
57,3
56,3
55,3
54,3
53,3
52,3
51,3
50,3
49,3
48,3
47,3
46,3
45,3
44,3
43,3
42,3
41,3
40,3
39,3
38,3
37,3
36,3
35,3
34,3
33,3
32,3
31,3
30,3
29,3
28,3
27,3
26,3
25,3
24,3
23,3
22,3
21,3
20,3
19,3
18,3
17,3
16,3
15,3
14,3
13,3
12,3
11,3
10,3
9,3
8,3
7,3
6,3
5,3
4,3
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,61
3,62
3,63
3,64
3,65
3,66
3,67
3,68
3,69
3,70
3,71
3,72
2,73
2,74
2,75
2,76
2,77
2,78
2,79
2,80
2,81
2,82
2,83
2,84
2,85
2,86
2,87
2,88
2,89
2,90
2,91
2,92
2,93
2,94
2,95
2,96
2,97
2,98
2,99
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
2,110
2,111
2,112
2,113
2,114
2,115
2,116
2,117
2,118
2,119
2,120
2,121
2,122
2,123
2,124
2,125
2,126
2,127
2,128
2,129
2,130
2,131
2,132
2,133
2,134
2,135
2,136
2,137
2,138
2,139
2,140
2,141
2,142
2,143
2,144
2,145
2,146
2,147
2,148
2,149
2,150
2,151
2,152
2,153
2,154
2,155
2,156
2,157
2,158
2,159
2,160
2,161
2,162
2,163
2,164
2,165
2,166
2,167
2,168
2,169
2,170
2,171
2,172
2,173
2,174
2,175
2,176
2,177
2,178
2,179
2,180
2,181
2,182
2,183
2,184
1,185
1,186
1,187
0,188
