grid_y,grid_x
185,105
185,104
185,103
185,102
185,101
185,100
185,99
185,98
185,97
185,96
185,95
185,94
185,93
185,92
185,91
185,90
185,89
185,88
185,87
185,86
185,85
185,84
185,83
185,82
185,81
185,80
185,79
185,78
185,77
185,76
185,75
185,74
185,73
185,72
185,71
185,70
185,69
185,68
185,67
185,66
185,65
185,64
185,63
185,62
185,61
185,60
185,59
185,58
185,57
185,56
185,55
185,54
185,53
185,52
185,51
185,50
185,49
185,48
185,47
185,46
185,45
185,44
185,43
185,42
185,41
185,40
185,39
185,38
185,37
185,36
185,35
185,34
185,33
185,32
185,31
185,30
185,29
185,28
185,27
185,26
185,25
185,24
185,23
185,22
185,21
185,20
184,20
183,20
182,21
181,22
180,23
179,24
178,25
177,26
176,27
176,28
176,29
176,30
175,31
174,32
173,33
172,34
171,35
170,36
169,37
168,38
167,39
166,40
165,40
164,40
163,40
162,41
161,42
160,43
159,44
159,45
159,46
159,47
159,48
159,49
159,50
159,51
159,52
159,53
158,54
157,55
156,56
155,57
154,58
153,59
152,59
151,59
150,59
149,59
148,59
147,59
146,59
145,59
144,59
143,59
142,59
141,59
140,59
139,59
138,59
137,59
136,59
135,59
134,59
133,59
132,59
131,59
130,59
129,59
128,59
127,60
126,61
125,62
124,63
123,64
122,65
121,65
120,65
119,65
118,65
117,65
116,65
115,65
114,66
113,66
112,67
111,67
110,68
109,68
108,69
107,69
106,69
105,70
104,70
103,70
102,70
101,70
100,70
99,70
98,70
97,71
96,72
95,73
94,74
93,75
92,76
91,76
90,77
89,77
88,78
87,78
86,79
85,79
84,80
83,80
82,80
81,81
80,81
79,82
78,82
77,83
76,83
75,84
74,84
73,85
72,85
71,85
70,86
69,86
68,87
67,87
66,88
65,88
64,89
63,90
62,91
61,92
60,93
59,94
58,95
57,95
56,95
55,95
54,95
53,95
52,95
51,95
50,95
49,95
48,96
47,96
46,97
45,97
44,98
43,98
42,99
41,99
40,100
39,100
38,100
37,101
36,101
35,102
34,102
33,103
32,103
31,104
30,104
29,105
28,105
27,105
26,105
25,105
24,105
23,105
22,105
21,105
20,105
19,105
18,105
17,105
16,105
15,105
14,105
13,105
12,105
11,105
10,105
10,106
10,107
9,108
9,109
8,110
8,111
7,112
7,113
7,114
6,115
