case_id,case_name,task_type,time_s,planner,original_start_cell,original_goal_cell,adjusted_start_cell,adjusted_goal_cell,path_found,path_length,num_path_cells,cumulative_sampled_risk,mean_sampled_risk,max_sampled_risk,high_risk_cell_count,high_risk_exposure_ratio,min_distance_to_high_risk_region,runtime_ms,expanded_nodes,lambda_risk_used,collision_count,set_pose_failure_count,replay_success,planned_points,executed_points,final_goal_error,tracking_error
Case 1,Baseline original case,baseline original navigation,30,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,0.0,0.0,0.0,0,0.0,18.24828759089466,81.04462999999384,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,30,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,0.0,0.0,0.0,0,0.0,18.24828759089466,76.96092800000542,10715,8.0,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,60,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,4.4624520737479136e-05,1.7638150489122189e-07,2.21672e-05,0,0.0,4.0,82.10722900000178,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,60,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,7.240037214834704e-16,2.861674788472215e-18,3.68678e-16,0,0.0,6.4031242374328485,63.922923000006904,9019,8.0,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,90,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,2.828085875756571,0.011178205042516091,0.293637,0,0.0,2.0,80.79673000000298,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,90,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,304.5340546095176,255,0.28591382998133225,0.0011212307058091461,0.0370272,0,0.0,5.0,57.07912100000101,8051,8.0,0,,not_run,255,,,
Case 1,Baseline original case,baseline original navigation,120,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,30.320891927847274,0.11984542263971254,0.551309,4,0.015810276679841896,0.0,83.8645299999996,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,120,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,372.4852813742386,371,4.592211738288283e-17,1.2377929213715048e-19,3.40541e-17,0,0.0,4.0,24.6821089999969,3791,8.0,0,,not_run,371,,,
Case 1,Baseline original case,baseline original navigation,150,Standard A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,303.3624817342638,253,53.336615245115595,0.21081666104788774,0.652344,29,0.11462450592885376,0.0,80.37012900000207,11424,,0,,not_run,253,,,
Case 1,Baseline original case,baseline original navigation,150,Risk-aware A*,"(188,0)","(0,188)","(188,0)","(0,188)",True,372.4852813742386,371,1.3363288529165797e-15,3.601964563117465e-18,5.06334e-16,0,0.0,2.0,16.894706000002202,2680,8.0,0,,not_run,371,,,
