case_id,time_s,planner,replay_success,gazebo_replay_status,collision_count,set_pose_failure_count,planned_points,executed_points,final_goal_error,tracking_error,elapsed_time
Case 1,30,Standard A*,not_run,not_run_in_this_batch,0,,253,,,,
Case 1,30,Risk-aware A*,not_run,not_run_in_this_batch,0,,253,,,,
Case 1,60,Standard A*,not_run,not_run_in_this_batch,0,,253,,,,
Case 1,60,Risk-aware A*,not_run,not_run_in_this_batch,0,,253,,,,
Case 1,90,Standard A*,not_run,not_run_in_this_batch,0,,253,,,,
Case 1,90,Risk-aware A*,not_run,not_run_in_this_batch,0,,255,,,,
Case 1,120,Standard A*,not_run,not_run_in_this_batch,0,,253,,,,
Case 1,120,Risk-aware A*,not_run,not_run_in_this_batch,0,,371,,,,
Case 1,150,Standard A*,not_run,not_run_in_this_batch,0,,253,,,,
Case 1,150,Risk-aware A*,not_run,not_run_in_this_batch,0,,371,,,,
Case 2,30,Standard A*,not_run,not_run_in_this_batch,0,,136,,,,
Case 2,30,Risk-aware A*,not_run,not_run_in_this_batch,0,,136,,,,
Case 2,60,Standard A*,not_run,not_run_in_this_batch,0,,136,,,,
Case 2,60,Risk-aware A*,not_run,not_run_in_this_batch,0,,151,,,,
Case 2,90,Standard A*,not_run,not_run_in_this_batch,0,,136,,,,
Case 2,90,Risk-aware A*,not_run,not_run_in_this_batch,0,,195,,,,
Case 2,120,Standard A*,not_run,not_run_in_this_batch,0,,136,,,,
Case 2,120,Risk-aware A*,not_run,not_run_in_this_batch,0,,197,,,,
Case 2,150,Standard A*,not_run,not_run_in_this_batch,0,,136,,,,
Case 2,150,Risk-aware A*,true,live_gazebo_set_pose_replay,0,0,315,319,0.000000,0.000000,33.308
Case 3,30,Standard A*,not_run,not_run_in_this_batch,0,,195,,,,
Case 3,30,Risk-aware A*,not_run,not_run_in_this_batch,0,,195,,,,
Case 3,60,Standard A*,not_run,not_run_in_this_batch,0,,195,,,,
Case 3,60,Risk-aware A*,not_run,not_run_in_this_batch,0,,208,,,,
Case 3,90,Standard A*,not_run,not_run_in_this_batch,0,,195,,,,
Case 3,90,Risk-aware A*,not_run,not_run_in_this_batch,0,,210,,,,
Case 3,120,Standard A*,not_run,not_run_in_this_batch,0,,195,,,,
Case 3,120,Risk-aware A*,not_run,not_run_in_this_batch,0,,234,,,,
Case 3,150,Standard A*,not_run,not_run_in_this_batch,0,,195,,,,
Case 3,150,Risk-aware A*,not_run,not_run_in_this_batch,0,,281,,,,
Case 4,30,Standard A*,not_run,not_run_in_this_batch,0,,283,,,,
Case 4,30,Risk-aware A*,not_run,not_run_in_this_batch,0,,283,,,,
Case 4,60,Standard A*,not_run,not_run_in_this_batch,0,,283,,,,
Case 4,60,Risk-aware A*,not_run,not_run_in_this_batch,0,,283,,,,
Case 4,90,Standard A*,not_run,not_run_in_this_batch,0,,283,,,,
Case 4,90,Risk-aware A*,not_run,not_run_in_this_batch,0,,287,,,,
Case 4,120,Standard A*,not_run,not_run_in_this_batch,0,,283,,,,
Case 4,120,Risk-aware A*,not_run,not_run_in_this_batch,0,,333,,,,
Case 4,150,Standard A*,not_run,not_run_in_this_batch,0,,283,,,,
Case 4,150,Risk-aware A*,true,live_gazebo_set_pose_replay,0,0,333,345,0.000000,0.000000,35.361
Case 5,30,Standard A*,not_run,not_run_in_this_batch,0,,100,,,,
Case 5,30,Risk-aware A*,not_run,not_run_in_this_batch,0,,100,,,,
Case 5,60,Standard A*,not_run,not_run_in_this_batch,0,,100,,,,
Case 5,60,Risk-aware A*,not_run,not_run_in_this_batch,0,,107,,,,
Case 5,90,Standard A*,not_run,not_run_in_this_batch,0,,100,,,,
Case 5,90,Risk-aware A*,not_run,not_run_in_this_batch,0,,158,,,,
Case 5,120,Standard A*,not_run,not_run_in_this_batch,0,,100,,,,
Case 5,120,Risk-aware A*,not_run,not_run_in_this_batch,0,,125,,,,
Case 5,150,Standard A*,not_run,not_run_in_this_batch,0,,100,,,,
Case 5,150,Risk-aware A*,true,live_gazebo_set_pose_replay,0,0,100,112,0.000000,0.000000,11.923
